initial_state_id,path
84,f2.d1.-f2.d0.f0.-r2.-f2.-f2.r0.-f0.d1.r0.r2.f1.-f0.f1.r0.-d0.-f0.-d0.-f0.r1
85,-r0.-f2.-r0.d2.-f1.-r0.d2.r0.d1.r1.f1.r0.d0.-r2.-d2.-f0.d2.-f2.d1.r1.d0.-r1.-f2
86,-f1.d2.r1.-r0.-d0.d1.f0.-f1.d2.f2.-d0.d1.f0.r0.-d1.f2.-d0.f2.-r0.-f2.-r1.-d1
87,f1.-r2.f0.-d0.r0.d2.r1.d1.-r2.-r2.-f2.d0.r1.-d0.-f2.d1.-r1.-r1.d0.f1.r1.r2.f1
88,f2.-d0.-r1.d2.r0.-f2.d2.-f1.r0.-f2.d2.-d0.-r1.-d0.r1.-d1.f2.-d0.-r0.-d0.f1.-d0
89,r0.-r1.d2.-r0.-f2.-d0.-f2.f0.d1.-f1.-r2.-d2.-r0.-f1.d2.d0.-d1.f0.d1.-r0.d2.-r0.-d0
90,-f2.d0.f0.-r0.-d2.-f2.r2.f1.-d1.r2.f1.f0.r0.f0.r0.-f1.-r0.-f2.r2.d1.-r2.-r1.-d2.f2
91,f2.r1.d0.-r0.d0.-d2.f2.-d0.-r2.f2.-d1.-f2.-d1.f1.-d0.d1.-f2.-r0.f2.r1.f1.-f2.f0
92,-d1.f0.f0.d1.-r1.-d0.-r2.f1.-r2.d0.-f2.r1.r0.-f0.r1.r1.-f0.d2.f0.f0.-d2.-f0.d1.-f0
93,d1.-r1.d1.f0.r2.-f2.-r0.f2.-f1.-d0.f2.d2.-f1.d1.-f2.r0.d0.-d2.f0.d0.-r1.-d0.f2
94,-r1.d2.-d0.f2.-f1.r0.d1.-d0.f1.d1.f1.-d2.-r2.r0.r1.d2.f2.r0.d1.-f1.-f0.-d1
95,-d2.f2.-f1.-d2.-r0.r1.-d2.r2.-f2.-f2.r0.d1.-f2.-r0.-f1.r0.d1.-f2.-d0.-d0.f2.-d1.d2
96,-d2.d1.-r1.-d2.-r0.-r0.d2.-f2.-r2.-f1.f0.d0.d2.d0.r0.-d2.f2.d1.f1.d0.-f0.-d0.f1.f0
97,-r1.f0.-f1.d2.-f2.-d0.r1.-f1.-d1.f0.r0.-f1.r1.-r2.-d1.-f1.f2.-r1.-d2.r0.r1
98,d2.r0.-d0.-f2.r1.-d0.r2.-f2.-r2.f1.r0.-d0.r0.-f2.-r0.-d0.f2.-f1.-d0.-f1.f0.-r1.f1.-f0
99,-d2.r1.d0.-d2.-f0.d0.r0.-d2.r2.-d0.-r0.d2.-r0.-f1.-d2.-f1.-d2.-f1.-d0.-d1.d2.-r0.-d0
100,-r2.d0.-f0.-r0.d0.f1.r2.-r0.-f2.f1.f1.-d2.f0.d1.-f2.-r1.d0.-d1.r0.r0.-d0.-r1
101,-r2.-d0.-f0.-r2.d2.-f0.d2.-d1.f2.-r1.d0.f2.d2.r0.-d0.r1.d0.-f0.-r0.-d0.-r2
102,-f1.-f1.r1.f2.r0.f2.d2.r1.-d1.-r0.d1.-r0.d0.-f2.d0.-r0.-r0.-f2.-d2.f2.d2.d2
103,d1.r1.d0.-r0.-d2.r1.-f2.-d2.r0.r0.-f1.r1.-f1.f2.d2.-r0.-f0.-d2.-r1.f0.r1
104,d0.r1.f2.d2.-r2.d0.-f0.f2.r0.-d1.-r1.-f1.-d0.f0.-r2.d0.d1.-f1.-d0.-f1.-d2.f0
105,r2.-f0.d0.-f1.-d2.r2.d2.f0.f0.r2.r1.r2.-d0.-f1.-d0.-r2.f0.-d1.r0.-d0.-f1.d0.f0
106,-r0.d0.r2.d2.f0.-r2.f0.-f1.-r0.-r0.-f1.-d1.-f2.-r1.f2.-d0.-f2.-r2.r0.-f2.f0.d1.f2.d0
107,f1.-r2.r1.-d2.f1.-d2.-f1.-r2.-f2.r0.-d2.f2.-d1.-f1.-r2.d1.-r0.-f2.-d0.-r2.d0.-f2.r0
108,r1.-f2.d0.-f0.d0.-f2.-r0.d2.-f0.r0.-f2.r1.-f1.-r0.-d1.r0.r0.f2.d2.f0.-r0.-f0.-d2.d1
109,d0.f2.r2.d1.-r1.-d0.r2.-r0.-d2.f2.d0.-r2.d2.-f2.f0.-r2.r0.-d2.r0.r2.f2.d2.-f2
110,-r1.-f2.r2.-d1.r1.-f0.-r0.d2.-r2.-r2.-f0.d2.f1.r0.-f2.d0.f1.-f2.-d0.f2.-r2.d0
111,f2.d2.-f0.f1.d0.f2.f2.-d2.f1.-d2.r1.d2.r2.f0.r1.d2.-r1.f0.d0.d2.-d1.f0.-f1
112,-d0.r2.f2.r0.-d0.f2.-d0.r2.-d1.f1.r2.f0.-d0.d1.r0.d1.-r1.-r1.-f1.-r0.d1.r1
113,d1.-r2.-f2.r2.d1.-f2.r2.-d2.f1.-r2.-f0.-d1.r0.r0.-d2.f0.-d0.r0.-f2.-r0.-f2.d0.-r2
114,f0.-r0.-d0.-f2.r1.f0.-d0.-r0.-r0.f0.f0.-d0.-r1.-f2.-d1.f2.-d0.f0.d1.-f1.d2.-f2
115,-d2.r2.-r0.f0.-d0.-f1.d1.-f0.d1.r1.-f0.-f0.d2.-r2.d2.r2.-f0.f1.-r0.-f1.-r0.f2.-d2
116,f0.-d2.f1.r0.f1.r2.-d2.-r0.-f0.-d2.f0.-d2.-f1.-d0.r0.f1.-f2.d2.-f1.r1.d1.d2
117,r1.-f1.d2.r2.-d2.d0.-r2.d2.-r0.d1.-f0.d2.r0.f1.-r1.-f1.r2.-r0.-f1.d0.r1.f0.f2
118,r1.d2.-r0.-d0.-d1.-d0.f0.-d1.-f0.-r2.-d1.r2.-f2.-d2.-r1.-d2.r0.-d2.-f2.-d2.-f2.-f2
119,f1.-r0.-d2.f2.-r0.-d0.-f0.r0.f0.r1.-f2.-d0.f0.-r2.-f1.r2.f1.-r1.-d2.r1.-f2.-r1.-f2
120,r1.d2.-r1.f2.-r0.-d0.r2.f0.-r2.r0.f0.-d0.-r2.-d2.-f1.-d2.-d0.f2.-d1.-f2.-r2.-d0
121,d1.r1.d2.-f0.-d2.-r0.d2.-f1.d0.r2.-d2.d1.r2.d1.-f1.-f0.-r0.f0.-d2.-f0.-d1.-f2.d0
122,d2.-r1.-d0.f1.-f0.d0.-f0.-d2.f2.d1.-f1.f2.-r1.d2.f1.-f2.r1.f2.d2.r1.-d2.r0
123,d1.f1.-d0.f0.r0.d0.-f1.-d1.-f0.-d1.r0.d2.r2.-f0.-d0.d1.r2.-d2.-r2.-d1.r1
124,-f2.-d0.f0.d2.r2.f0.d1.r2.-r1.d0.d0.-f0.-r1.f0.f0.d0.-r2.-d0.r2.-r1.-d2.r1.d2.-f0
125,-r2.d1.-f2.-r2.-d1.-f0.r1.r2.f2.-d2.r2.-d2.f2.d0.f2.r2.f2.d2.r0.d2.-r2.f1.-r0
126,d2.-f0.d1.r0.f2.-r0.d2.r1.-f1.d2.-r0.f1.f1.r1.-f1.r0.f0.-d1.-d1.-r0.f0.d2
127,f1.d2.-r1.d1.-f1.d0.f0.d1.r2.-d0.r1.d1.-f1.d2.r2.-f0.-d2.f0.f0.r2.r2.-f2.r2
128,f0.-d1.-f2.d1.-r2.d0.f1.-d2.-f0.-r1.-d0.-r0.f2.-d0.-r2.d0.-f0.r2.f2.-r2.f2.-r0
129,-f1.-d2.-r0.d0.f2.d2.-f2.r2.f0.-r0.d2.r2.-f0.r2.f1.d1.-r0.-f1.d1.f1.r0.-f1.-r0
130,-r0.-f2.-d2.r1.-d2.-f2.-f2.r2.d1.-d2.-r1.-d2.r2.r2.-f0.r2.-d2.d0.r2.-d0.f0.d2
131,-r0.d0.-f2.d2.f1.-d0.-f2.r0.-r1.f1.d2.f2.-d0.-r2.d0.-r2.d2.d1.f1.r1.-f2.-f1.-d1
132,f0.-d2.f2.-r2.-f2.-r2.f1.-r2.d1.-d0.f1.d2.f2.-r0.-f2.-d1.r1.-d1.-f0.-d1.f2.d0
133,-d1.-f2.d0.f2.-f0.-r2.-d0.r2.d1.r1.d1.r0.-r2.f0.d1.-f0.r1.-d0.f2.r2.d2
134,d2.-f2.d1.-r1.-f0.d0.-f0.-d2.-r0.-d0.-f1.-f2.d0.r2.-f0.-r2.d0.-f1.-d1.-f2.-d2.-r2
135,d2.-f2.f1.-d2.-r1.d0.-r0.-f0.-d2.r1.-d1.f1.r2.-d1.-r2.d0.f2.-d2.-f0.-d2.-r2
136,-f1.d0.-f0.f1.r0.f0.r1.d1.f2.d1.-f1.r0.d2.-f0.d0.-f1.d2.r1.f2.-r0
137,-f2.-r0.-f1.d2.r0.r0.-d2.-f1.-d0.-r2.r1.f2.-r2.d0.-r2.f0.-r1.-r0.-d0.-f0.r2.d0.d0
138,f1.-r2.d2.-d1.-f0.-d2.-r2.-f2.-r0.-f1.d2.f0.-f1.d1.f0.d2.d0.-r1.f2.r2.-f1.f2
139,-f2.d2.f2.-r2.d2.f2.r1.-f0.-d0.d1.f2.f0.r1.-d0.-f0.-r1.d2.d2.r1.r1.-f0.d1.f0
140,-f2.r2.f0.r1.d1.r2.d1.-f0.-r2.f1.r0.-f2.r1.d1.-r1.r2.-d2.-r2.f2.d2.-r2.d1
141,-r2.-f2.-d0.-r0.f0.f0.r2.r1.-d2.f2.-r1.-f0.-r2.d0.-r1.d2.r2.f1.r1.f0.f2.d1.-d0
142,d2.r0.r0.-d2.-r1.f0.-d2.-r0.f1.d1.d1.r1.f0.r0.-d1.-d1.-f1.-r1.f1.-r0.d1.d2.f0.-d0
143,r0.d2.r1.-r0.f1.d0.r0.-f2.d1.f0.-f1.d1.r0.d2.-r0.-d2.r0.r0.-d0.r0.-d1.f1.d1
144,f0.-d2.-r0.d2.-r2.d0.f0.d2.-r0.-d0.r0.-r2.-d2.d0.d1.-r1.d2.f2.-r0.-d1.r2.d1
145,-f1.r1.-d2.-f2.-d0.-r0.f0.d2.-f1.-f1.-d2.-d0.r0.-d2.r1.f0.-f1.-r1.-r0.d0.-r2
146,-d0.-r2.d0.f1.d1.f2.-r0.-r0.d2.-r0.d1.r0.d1.-r0.-f1.d1.-r0.-d1.f0.-r1.r2.f0
147,d0.r0.-r2.-d1.-r1.-f1.d0.-r2.-r2.-d1.-r0.r1.-d2.-r1.d0.d1.-f2.r0.-f2.-d2.f2.-d1.-f0
148,r1.-f0.-r2.-f0.r0.-f2.d2.r2.d2.-f0.-f0.r2.d0.-r2.d0.r2.-d0.f2.-r0.-r1.-d0.-f0
149,d0.f2.-d2.-r0.-d2.-f2.r1.-d2.-d2.-f0.d2.f1.-f2.-d2.f2.d2.-f0.r2.f0.r2.r2.-d0.d2
150,f1.r1.-f2.d2.-r1.f2.d1.r0.f0.d1.-r0.f0.-r0.-f0.-d1.r2.d0.r2.d2.r0.-d2.f2.f2.r2
151,r1.d2.f2.-d1.-r0.d0.d0.f0.-d0.-r2.f1.f1.-r2.-f1.r2.-d2.-r0.-d2.r0.f2.-d2.-r0.d2
152,-f2.d1.-f2.d2.f2.d1.-r0.d2.-r1.f0.d1.-r1.-d2.-f0.f1.-r1.r0.f0.-r2.-d1.-r2.d1
153,f0.-r1.-f0.-d2.r1.d0.-f0.r1.f2.r1.f1.-r0.d2.f1.-r0.-f1.-d2.-f1.d0.-r2.f0.r2.-f2
154,f1.-d1.-f2.r0.-d0.r0.f0.r2.d2.-f2.-d1.-r2.f0.r1.-f0.-d2.r0.f0.r0.-f1.-f1.-r2
155,f2.r0.d1.-r1.-f2.r2.f2.-d1.r0.-d1.r1.-f0.d1.-f2.d1.f2.d2.d2.r2.-f2.-r2.-f2.d2
156,r0.f1.d1.-f0.r0.d2.-f0.-r1.d0.-f2.-d2.d1.r2.f0.-r0.-r0.d0.r1.-d0.r1.-f2.d0
157,d0.r1.f2.-r2.f2.f0.d2.d2.r2.f2.-d0.-r2.f1.f0.r1.-d2.-d2.-f2.d2.f2.-d0.d2.-d1
158,f0.r0.f1.-f2.-r2.r0.-f1.-r0.d0.-r2.r0.f0.d0.-f2.-r1.f2.-r0.-d0.-r1.-f1.-r0.d0
159,-d1.f1.-r0.f2.d2.-f0.-r0.-f0.d2.-r2.r0.d2.-d0.-r1.d2.-r1.d0.-r1.f2.-r0.d1
160,-f2.-d0.f1.-d0.r1.-r0.d0.-f2.f0.d1.-d2.-f0.r2.d0.-r0.r2.f2.r2.-r1.d0.r2.-d0.-r0.d0
161,-f1.-r1.f2.-d0.-f0.d2.f1.-d2.r2.-d2.r1.f0.-r1.-f0.f2.d0.r0.d2.d1.-r0.-r0.-f0.f1
162,d0.-f2.-f2.r1.d1.-d0.r2.-d2.r2.f1.-d0.-r1.r2.d0.-r1.f0.d2.-f0.-r2.-r2.-f0.-r2
163,-d1.d2.f2.-f0.-d1.r2.d2.r1.f0.-r1.d1.r2.-d0.-f0.d0.f2.r2.-f2.-r2.-f2.-d1.-d1.r2
164,f1.d0.f2.d1.-f0.d2.f0.r2.f0.d2.-r2.d1.-r0.-d0.d1.-d2.r1.d1.r2.-f0.-d0.-r0
165,-f0.-f0.-r2.r0.-f0.f2.d0.f0.r2.d1.f2.d0.-f2.d1.-r1.d1.-r1.-f1.r1.-f2.-r0.f0.f1
166,-r0.f2.-f1.-r1.d2.-f2.-d1.r2.-f2.r2.f2.f2.d1.-f2.f1.-d0.r2.d0.r1.-d0.-f0.d0.r0.-f2
167,r0.-d2.-d2.-f1.d1.r1.f0.d0.-f1.-r2.-f0.d0.r2.-d1.-r0.-f2.-d2.-r1.d0.f1.f0.-r0.d0
168,f1.r1.d0.f2.d2.-d1.-f1.r0.-r2.d1.-f0.-f0.d1.r1.-f1.-d2.f0.-f1.d0.f2
169,r1.-d1.f1.d0.-r0.f0.d2.-f1.-d0.f0.d0.r1.f1.-r0.f1.d1.r2.-d1.r2.f0.r2.f0.d0
170,r1.-d1.d0.r0.-f2.-f2.-r2.f2.f2.f0.-d1.d2.-r0.-d2.f1.d2.-f0.-d0.-f0.d0.r2.f1
171,d2.r1.d2.f1.-d0.f0.r2.d0.r0.r0.f2.-r0.-f0.r0.-d2.-r1.-d1.-r0.d1.-d0.-r0.r1.r1
172,r2.-d0.-f2.d2.-r1.-d0.-f1.-d2.-f2.d2.-f2.-f0.-d1.-r0.f1.d1.-d0.-f0.r2.-f2.-r2.-f1.r0.-d1
173,-r1.r0.f0.r2.-d2.-f1.d2.-r2.-d0.f2.-r1.f1.r2.-d0.-f1.f0.r2.-f0.d0.f0.-r2.-d0.f1
174,d0.-f0.-r1.d0.-d2.r1.-d1.f0.-r0.d2.r0.d1.-f2.-r0.d0.-f2.-d0.f2.d2.r1.-f2.f1.-f0.-d1
175,f2.r1.r1.d1.r2.f0.r0.r0.-d0.r1.f0.-r0.-d0.f1.-d1.f0.-r2.-f2.r2.-f2.-f1.-d1.d2
176,r0.d0.r2.f0.-r2.-f2.-d1.-f2.r2.r1.-d2.r2.f1.f1.d1.-r1.d0.r1.-f0.-d2.d1.f1
177,-r1.-d0.f1.-r2.r0.-f0.-d2.-r1.f2.-r0.-d2.-f1.-d0.-f1.-d1.f1.-f0.d0.f2.f2.d2.-f2.d1
178,-r2.-f2.f0.-r2.d1.-f2.-d2.-r0.-r1.d0.d0.d2.-f1.d0.r1.d1.r0.f0.-d2.f1.-r0.f1
179,d2.-f0.-r1.d1.-d0.-f2.-r0.-d0.r2.-f0.r2.-f2.-d2.f0.r1.-d0.-f2.r1.d1.-f2.-d1.-r1.f2
180,d0.d0.f0.-d0.-d0.r2.f0.f0.-d0.-f2.-r1.-f0.-r1.-f0.-d0.-r0.f0.f0.-r1.-f0.d1.r0
181,d2.-r1.f1.d2.-r2.d1.-d0.-r2.d2.-f2.-r1.d2.r0.f1.f1.-d1.f2.d1.-f1.-d1.-r1.f2.f2
182,f1.-d2.r0.d2.r0.f1.r1.f2.r0.-d0.-r1.-f0.-r0.-f1.-d0.r2.-f2.d2.-r1.r0.-f2.r1
183,f1.r0.d0.-r0.d2.f0.-r2.-f2.d1.-f2.r2.d1.-f1.r2.-d2.r0.d2.f1.-r2.-d2.-r0.-d1.-d1
184,-f0.-d1.r0.d1.f2.-d0.-f0.d1.f2.r2.d2.-d1.-d0.-f1.-r0.d0.-f0.-f1.r2.d0.-f2.d0.-f1.-d0
185,f1.-d0.r0.-d2.r2.-f1.d1.-f2.r0.-d2.-r0.-f0.-d2.-f1.f0.d2.-r1.-f1.-d2.-f1.r1.r1.d0
